#SMILES	StructureSource	IdentifierType	IdentifierValue
[C@@H]12CN([C@@H]([C@@H]1C2)C#N)C([C@@H](N)C3(CCCC3)CC)=O	USRE044186-20130430-C00184.CDX	Example	76
[C@@H]12CN([C@@H]([C@@H]1C2)C#N)C([C@@H](N)C3(CCCC3)C=C)=O	USRE044186-20130430-C00185.CDX	Example	77
[C@@H]12[C@@H](N([C@@H](C1)C#N)C([C@@H](N)C3(CCCC3)C(CO)O)=O)C2	USRE044186-20130430-C00186.CDX	Example	78
[C@H](C1(CCCCC1)C)(C(N2[C@@H]3[C@H](C[C@H]2C#N)C3)=O)N	USRE044186-20130430-C00187.CDX	Example	79
[C@@H](CC)(N)C(N1[C@@H]2[C@H](C[C@H]1C#N)C2)=O	TABLE-US-00005:0:USRE044186-20130430-C00196.CDX:R:Methyl	Example	79
[C@@H](CCC)(N)C(N1[C@@H]2[C@H](C[C@H]1C#N)C2)=O	TABLE-US-00005:1:USRE044186-20130430-C00196.CDX:R:Ethyl	Example	80
[C@@H](CC)(N)C(N1[C@@H]2[C@H](C[C@H]1C#N)C2)=O	TABLE-US-00005:2:USRE044186-20130430-C00196.CDX:R:Methyl	Example	81
[C@@H](CCC=C)(N)C(N1[C@@H]2[C@H](C[C@H]1C#N)C2)=O	TABLE-US-00005:3:USRE044186-20130430-C00196.CDX:R:Allyl	Example	82
[C@@H](CCCC)(N)C(N1[C@@H]2[C@H](C[C@H]1C#N)C2)=O	TABLE-US-00005:4:USRE044186-20130430-C00196.CDX:R:Propyl	Example	83
[C@@H](CC)(N)C(N1[C@@H]2[C@H](C[C@H]1C#N)C2)=O	TABLE-US-00005:5:USRE044186-20130430-C00196.CDX:R:Methyl	Example	84
N1[C@@H]([C@@H]2[C@H](C1)C2)C#N.N1[C@H]([C@H]2[C@@H](C1)C2)C#N	USRE044186-20130430-C00036.CDX	Step	1
C1CCC(C1)(CO)[C@H](NC(=O)OC(C)(C)C)C(=O)N2[C@@H]3[C@H](C[C@H]2C#N)C3	USRE044186-20130430-C00109.CDX	Step	1
N1([C@@H]2[C@H](C[C@H]1C#N)C2)C(=O)[C@]3(NCCC3(C)C)[H]	USRE044186-20130430-C00161.CDX	Step	1
OC(C(C1(CCC1)C(F)=C)NC(=O)OC(C)(C)C)=O	USRE044186-20130430-C00102.CDX	Step	1
C1(N(C([C@H](C1)CC)(C(=O)OCC)C(OCC)=O)C(=O)C)O	USRE044186-20130430-C00165.CDX	Step	1
N1[C@@H]([C@H]2[C@@H](C1)C2)C#N.N1[C@H]([C@@H]2[C@H](C1)C2)C#N	USRE044186-20130430-C00039.CDX	Step	1
C1[C@@]2(C[C@@H]3C[C@H]1CC(C2)(C3)[C@H](NC(=O)OC(C)(C)C)C(N4[C@@H]5[C@H](C[C@H]4C(=O)N)C5)=O)F	USRE044186-20130430-C00141.CDX	Step	1
C1=CC=CC(=C1)C(C(NC(=O)OC(C)(C)C)C(O)=O)(C)C	USRE044186-20130430-C00159.CDX	Step	1
