"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"
"CHEMBL1215236"	""	"None"	"469.38"	"0"	"4.18"	"24v"	"Cc1nc2nc(C(=O)N(C)CCc3ccccn3)cn2c(-c2ccc(Cl)cc2Cl)c1CN"	"Ki"	"'='"	"0.7"	"nM"	"9.15"	""	""	"UO_0000065"	"19.50"	"0.39"	"4.97"	"10.24"	"0"	"CHEMBL1218970"	"Inhibition of human recombinant DPP4 assessed as Gly-Pro-pNA cleavage"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1212920"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""
"CHEMBL3086656"	""	"None"	"579.75"	"2"	"-1.28"	"16"	"CC(C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)NC(C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)C(C)(C)C"	"Ki"	"'='"	"4500.0"	"nM"	"5.35"	""	""	"UO_0000065"	"9.22"	"0.18"	"6.63"	"2.33"	"0"	"CHEMBL3091126"	"Competitive inhibition of human recombinant DPP4 using AP-pNA as substrate preincubated for 30 mins followed by substrate addition measured after 30 mins by spectrophotometric analysis"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3085773"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""
"CHEMBL307636"	""	"None"	"235.33"	"0"	"1.41"	"1"	"N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1"	"Ki"	"'='"	"1.4"	"nM"	"8.85"	""	""	"UO_0000065"	"37.62"	"0.71"	"7.44"	"12.63"	"0"	"CHEMBL1021164"	"Inhibition of DPP4"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1152762"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2009"	"None"	""	""
"CHEMBL2441847"	""	"None"	"449.38"	"0"	"4.04"	"2o, More active atropisomer"	"CCN(CC)C(=O)CCN1Cc2nc(C)c(CN)c(-c3ccc(Cl)cc3Cl)c2C1=O"	"Ki"	"'='"	"6.6"	"nM"	"8.18"	""	""	"UO_0000065"	"18.20"	"0.37"	"4.14"	"10.29"	"0"	"CHEMBL2444439"	"Inhibition of human DPP4 assessed as Gly-Pro-pNA cleavage preincubated for 40 mins followed by substrate addition"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2439999"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""
"CHEMBL1271066"	""	"None"	"446.86"	"1"	"5.51"	"23"	"COc1ccccc1-c1cn2c(-c3ccc(Cl)c(C(F)(F)F)c3)c(CN)c(C)nc2n1"	"Ki"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1274952"	"Inhibition of human DPP4 after 15 mins by para-nitroaniline release assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1268879"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"None"	""	""
"CHEMBL3350934"	""	"None"	"273.38"	"0"	"1.96"	"8e"	"C=CC1([C@H](N)C(=O)N2[C@H](C#N)C[C@@H]3C[C@@H]32)CCCCC1"	"Ki"	"'='"	"1.4"	"nM"	"8.85"	""	""	"UO_0000065"	"32.39"	"0.60"	"6.89"	"12.63"	"0"	"CHEMBL839953"	"In vitro inhibition constant against human Dipeptidyl peptidase IV"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140346"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""
"CHEMBL2441955"	""	"None"	"447.37"	"0"	"3.79"	"2v, More active atropisomer"	"Cc1nc2c(c(-c3ccc(Cl)cc3Cl)c1CN)C(=O)N(CC(=O)N1CCCCC1)C2"	"Ki"	"'='"	"0.8"	"nM"	"9.10"	""	""	"UO_0000065"	"20.33"	"0.41"	"5.31"	"11.44"	"0"	"CHEMBL2444439"	"Inhibition of human DPP4 assessed as Gly-Pro-pNA cleavage preincubated for 40 mins followed by substrate addition"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2439999"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""
"CHEMBL2441841"	""	"None"	"509.46"	"1"	"3.73"	"2k, More active atropisomer"	"Cc1nc2c(c(-c3ccc(Cl)cc3Cl)c1CN)C(=O)N(C[C@@H]1CCCN1S(=O)(=O)C1CC1)C2"	"Ki"	"'='"	"0.4"	"nM"	"9.40"	""	""	"UO_0000065"	"18.45"	"0.39"	"5.67"	"9.73"	"0"	"CHEMBL2444439"	"Inhibition of human DPP4 assessed as Gly-Pro-pNA cleavage preincubated for 40 mins followed by substrate addition"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2439999"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""
"CHEMBL1910121"	""	"None"	"526.45"	"1"	"1.88"	"(+)-3y, atropisomer"	"Cc1nc2c(c(-c3ccc(Cl)cc3Cl)c1CN)CN(CC(=O)N1CCN(S(C)(=O)=O)CC1)C2=O"	"Ki"	"'='"	"0.46"	"nM"	"9.34"	""	""	"UO_0000065"	"17.74"	"0.38"	"7.46"	"7.99"	"0"	"CHEMBL1912807"	"Inhibition of DPP4"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909536"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""
"CHEMBL382623"	""	"None"	"275.40"	"0"	"1.95"	"18"	"CC(C)(C#N)NC(=O)[C@@H](N)C12CC3CC(CC(C3)C1)C2"	"Ki"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL867212"	"Inhibition of DPP4"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139028"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""
